page_number_file_a,section_number_file_a,text_file_a,page_number_file_b,section_number_file_b,text_file_b,diff_score
8,17,"Principle 17: Supervisors should require that banks have an effective system in place to identify, measure, monitor and control credit risk as part of an overall approach to risk management. Supervisors should conduct an independent evaluation of a bank’s strategies, policies, procedures and practices related to the granting of credit and the ongoing management of the portfolio. Supervisors should consider setting prudential limits to restrict bank exposures to single borrowers or groups of connected counterparties.",18,16,"Principle 16: Supervisors should require that banks have an effective system in place to identify, measure, evaluate, monitor, report and control or mitigate credit risk (including counterparty credit risk) as part of an overall approach to risk management. Supervisors should conduct an independent evaluation of a bank’s strategies, policies, procedures and practices related to the granting of credit and the ongoing management of the portfolio. Supervisors set prudential limits to restrict bank exposures to single counterparties or groups of connected counterparties.
Reference documents: BCP40.25, BCP40.27, BCP40.28, BCP40.39, BCP40.40, BCP40.41, BCB40.43, BCBS
Guidance on credit risk and accounting for expected credit losses (December 2015), BCBS Prudential treatment of problem assets – definitions of non-performing exposures and forbearance (April 2017),
SRP30, SRP32 .
67. Although the board of directors and senior management bear the ultimate responsibility for an effective system of credit risk management, supervisors should, as part of their ongoing supervisory activities, assess the system in place at individual banks to identify, measure, evaluate, monitor, report and control or mitigate credit risk. This should include an assessment of any measurement tools (such as internal risk ratings and credit risk models) used by the bank. In addition, they should determine that the board of directors effectively oversees the credit risk management process of the bank and that management monitors risk positions, and compliance with and appropriateness of policies.
68. To evaluate the quality of credit risk management systems, supervisors can take a number of approaches. A key element in such an evaluation is the determination by supervisors that the bank is utilising sound asset valuation procedures. Most typically, supervisors, or the external auditors on whose work they partially rely, conduct a review of the quality of a sample of individual credits. In those instances where the supervisory analysis agrees with the internal analysis conducted by the bank, a higher degree of dependence can be placed on the use of such internal reviews for assessing the overall quality of the credit portfolio and the adequacy of provisions and reserves. Supervisors or external auditors should also assess the quality of a bank’s own internal validation process where internal risk ratings and/or credit risk models are used.
Supervisors should also review the results of any independent internal reviews of the credit- granting and credit administration functions. Supervisors may also make use of any reviews conducted by the bank’s internal and external auditors, where available.
69. Supervisors should take particular note of whether bank management recognises problem exposures at an early stage and takes the appropriate actions. Supervisors should monitor trends within a bank’s overall credit portfolio and discuss with senior management any marked deterioration. Supervisors should also assess whether the capital of the bank, in addition to its provisions and reserves, is adequate considering the level of credit risk identified and inherent in the bank’s various on- and off-balance sheet activities.
70. In reviewing the adequacy of the credit risk management process, home country supervisors should also determine that the process is effective across business lines, subsidiaries and national boundaries. It is important that supervisors evaluate the credit risk management system not only at the level of individual businesses or legal entities but also across the wide spectrum of activities and subsidiaries within the consolidated banking organisation.
71. After the credit risk management process is evaluated, the supervisors should address with management any weaknesses detected in the system, excess concentrations, the classification of problem exposures and the estimation of any additional provisions and the effect on the bank’s profitability of any suspension of interest accruals. In those instances where supervisors determine that a bank’s overall credit risk management system is not adequate or effective for that bank’s specific credit risk profile, they should ensure the bank takes the appropriate actions to improve promptly its credit risk management process.
72. Supervisors should consider setting prudential limits that would apply to all banks, irrespective of the quality of their credit risk management process. Supervisors set prudential limits to restrict bank exposures to single counterparties or groups of connected counterparties. Supervisors may also want to impose certain reporting requirements for credits of a particular type or exceeding certain established levels. The supervisor obtains information on a regular basis and in relevant detail or has access to information concerning the classification of exposures, collateral and other risk mitigants, provisions and write-offs, on country and transfer risk, on concentrations within a bank’s portfolio, including sectoral, geographical and currency exposures (see BCP40.42(6),
BCP40.49(5), BCP40.44(4)). Supervisors require banks to report (or acquire through other means) information on individual related-party transactions that are material (see BCP40.47(7)).",0.9119
8,10,"Principle 10: Banks are encouraged to develop and utilise an internal risk rating system in managing credit risk. The rating system should be consistent with the nature, size and complexity of a bank’s activities.",14,10,"Principle 10: Banks are encouraged to develop and utilise an internal risk rating system in managing credit risk. The rating system should be consistent with the nature, size and complexity of a bank’s activities.
Reference documents: SRP20.13 and BCP40.40.
45. Internal risk ratings are an important tool in monitoring credit risk. Internal risk ratings should be adequate to support the identification and measurement of risk from all credit exposures and should be integrated into an institution’s overall analysis of credit risk and capital adequacy. The ratings system should provide detailed ratings for all exposures, not only for criticised or problem exposures. This will allow more accurate determination of the overall characteristics of the credit portfolio, concentrations, problem exposures and the adequacy of credit loss reserves and provisions. More detailed and sophisticated internal risk rating systems, used primarily at larger banks, can also be used to determine internal capital allocation, pricing of credits and profitability of transactions and relationships.
46. Typically, an internal risk rating system categorises credits into various classes designed to take into account gradations in risk. Simpler systems might be based on several categories ranging from satisfactory to unsatisfactory; however, more meaningful systems will have numerous gradations for credits considered satisfactory in order to truly differentiate the relative credit risk they pose. In developing their systems, banks must decide whether to rate the riskiness of the borrower or counterparty, the risks associated with a specific transaction, or both.
47. Internal risk ratings are an important tool in monitoring and controlling credit risk. In order to facilitate early identification of changes in risk profiles, the bank’s internal risk rating system should be responsive to indicators of potential or actual deterioration in credit risk. Credits with deteriorating ratings should be subject to additional oversight and monitoring, for example, through more frequent visits from credit officers and inclusion on a watchlist that is regularly reviewed by senior management. The internal risk ratings can be used by line management in different departments to track the current characteristics of the credit portfolio and help determine necessary changes to the credit strategy of the bank. Consequently, it is important that the board of directors and senior management also receive periodic reports on the condition of the credit portfolios based on such ratings.
48. The ratings assigned to individual borrowers or counterparties at the time the credit is granted must be reviewed on a periodic basis, and individual credits should be assigned a new rating when conditions either improve or deteriorate. Because of the importance of ensuring that internal risk ratings are consistent and accurately reflect the quality of individual credits, responsibility for setting or confirming such ratings should rest with a credit review function independent of that which originated the credit concerned. It is also important that the consistency and accuracy of ratings are examined periodically by a function such as an independent credit review group.",0.8946
8,13,"Principle 13: Banks should take into consideration potential future changes in economic conditions when assessing individual credits and their credit portfolios, and should assess their credit risk exposures under stressful conditions.",16,12,"Principle 12: Banks should take into consideration current and forward-looking market and macroeconomic factors when assessing individual credits and their credit portfolios, and they should assess their credit risk exposures under stressful conditions.
Reference documents: BCP40.35, SRP30.45–SRP30.47 and BCBS Stress testing principles (October 2018).
56. An important element of sound credit risk management involves discussing what could potentially go wrong with individual credits and within the various credit portfolios and factoring this information into the analysis of the adequacy of capital and provisions. This “what if” exercise can reveal previously undetected areas of potential credit risk exposure for the bank. The linkages between different categories of risk that are likely to emerge in times of crisis should be fully understood. In case of adverse circumstances, there may be a substantial correlation of various risks, especially credit and market risk. Scenario analysis and stress testing are useful ways of assessing areas of potential problems.
57. Stress test results should be reported to the board and senior management on a regular basis, at relevant levels of aggregation. Results of stress tests should, where appropriate, inform banks’ calibration of limits.
58. The bank should attempt to identify the types of situations, such as economic downturns, both in the whole economy and in particular sectors, higher than expected levels of delinquencies and defaults, or the combinations of credit and market events, that could produce substantial losses or liquidity problems. Such an analysis should be done at relevant levels of its organisation, consistent with the stress test objectives (eg at a portfolio level, a business unit level or at a firm- wide level (consolidation, solo or sub-consolidated)). Stress test analyses should also include contingency plans regarding actions management might take given certain scenarios. These can include such techniques as hedging against the outcome or reducing the size of the exposure.",0.8772
5,I,"I. Introduction
1. While financial institutions have faced difficulties over the years for a multitude of reasons, the major cause of serious banking problems continues to be directly related to lax credit standards for borrowers and counterparties, poor portfolio risk management, or a lack of attention to changes in economic or other circumstances that can lead to a deterioration in the credit standing of a bank’s counterparties. This experience is common in both G-10 and non-G-10 countries.
2. Credit risk is most simply defined as the potential that a bank borrower or counterparty will fail to meet its obligations in accordance with agreed terms. The goal of credit risk management is to maximise a bank’s risk-adjusted rate of return by maintaining credit risk exposure within acceptable parameters. Banks need to manage the credit risk inherent in the entire portfolio as well as the risk in individual credits or transactions. Banks should also consider the relationships between credit risk and other risks. The effective management of credit risk is a critical component of a comprehensive approach to risk management and essential to the long-term success of any banking organisation.
3. For most banks, loans are the largest and most obvious source of credit risk;
however, other sources of credit risk exist throughout the activities of a bank, including in the banking book and in the trading book, and both on and off the balance sheet. Banks are increasingly facing credit risk (or counterparty risk) in various financial instruments other than loans, including acceptances, interbank transactions, trade financing, foreign exchange transactions, financial futures, swaps, bonds, equities, options, and in the extension of commitments and guarantees, and the settlement of transactions.
4. Since exposure to credit risk continues to be the leading source of problems in banks world-wide, banks and their supervisors should be able to draw useful lessons from past experiences. Banks should now have a keen awareness of the need to identify, measure, monitor and control credit risk as well as to determine that they hold adequate capital against these risks and that they are adequately compensated for risks incurred. The Basel Committee is issuing this document in order to encourage banking supervisors globally to promote sound practices for managing credit risk. Although the principles contained in this paper are most clearly applicable to the business of lending, they should be applied to all activities where credit risk is present.
5. The sound practices set out in this document specifically address the following areas:
(i) establishing an appropriate credit risk environment; (ii) operating under a sound credit- granting process; (iii) maintaining an appropriate credit administration, measurement and monitoring process; and (iv) ensuring adequate controls over credit risk. Although specific credit risk management practices may differ among banks depending upon the nature and complexity of their credit activities, a comprehensive credit risk management program will address these four areas. These practices should also be applied in conjunction with sound practices related to the assessment of asset quality, the adequacy of provisions and reserves, and the disclosure of credit risk, all of which have been addressed in other recent Basel
Committee documents. 1
6. While the exact approach chosen by individual supervisors will depend on a host of factors, including their on-site and off-site supervisory techniques and the degree to which external auditors are also used in the supervisory function, all members of the Basel
Committee agree that the principles set out in this paper should be used in evaluating a bank’s credit risk management system . Supervisory expectations for the credit risk management approach used by individual banks should be commensurate with the scope and sophistication of the bank’s activities. For smaller or less sophisticated banks, supervisors need to determine that the credit risk management approach used is sufficient for their activities and that they have instilled sufficient risk-return discipline in their credit risk management processes. The Committee stipulates in Sections II to VI of the paper, principles for banking supervisory authorities to apply in assessing bank’s credit risk management systems. In addition, the appendix provides an overview of credit problems commonly seen by supervisors.
7. A further particular instance of credit risk relates to the process of settling financial transactions. If one side of a transaction is settled but the other fails, a loss may be incurred that is equal to the principal amount of the transaction. Even if one party is simply late in settling, then the other party may incur a loss relating to missed investment opportunities.
Settlement risk (i.e. the risk that the completion or settlement of a financial transaction will fail to take place as expected) thus includes elements of liquidity, market, operational and reputational risk as well as credit risk. The level of risk is determined by the particular arrangements for settlement. Factors in such arrangements that have a bearing on credit risk include: the timing of the exchange of value; payment/settlement finality; and the role of intermediaries and clearing houses. 2
8. This paper was originally published for consultation in July 1999. The Committee is grateful to the central banks, supervisory authorities, banking associations, and institutions that provided comments. These comments have informed the production of this final version of the paper.
See in particular Sound Practices for Loan Accounting and Disclosure (July 1999) and Best Practices for Credit Risk
Disclosure (September 2000).
See in particular Supervisory Guidance for Managing Settlement Risk in Foreign Exchange Transactions (September
2000), in which the annotated bibliography (annex 3) provides a list of publications related to various settlement risks.
Principles for the Assessment of Banks’ Management of Credit Risk",5,I,"I. Introduction
1. In 2000, the Basel Committee for Banking Supervision (the Committee) issued the Principles for the management of credit risk (Credit Risk Principles), encouraging banking supervisors globally to promote sound practices for managing credit risk. 1 These principles provide guidelines for banking supervisory authorities to evaluate banks’ credit risk management processes in four key areas: (i) establishing a suitable credit risk environment; (ii) operating under a sound credit- granting process; (iii) maintaining an appropriate credit administration, measurement and monitoring process; and (iv) ensuring adequate controls over credit risk.
2. In July 2023, the Committee released a supervisory newsletter addressing credit risk issues and stated it would continue to assess banks’ credit risk modelling practices and to monitor potential risks in the evolving economic environment and financial conditions. 2 In this context, the
Committee mandated a review of the Credit Risk Principles to determine if they remain fit for purpose given the developments in global financial markets related credit risks and trends and changes to the supervisory and regulatory landscape over the past 25 years.
3. The review confirmed the ongoing relevance of the Credit Risk Principles while identifying certain parts that either have become obsolete, superseded and redundant or are not fully aligned with the current Basel Framework and the Committee’s guidance. 3 Therefore, the Committee made a limited set of technical amendments to align the Credit Risk Principles with the current Basel
Framework and the latest guidelines issued by the Committee. The update does not intend to change the content of the principles or cover new topics. 4
1 BCBS, Principles for the management of credit risk, October 2000.
2 Newsletter on credit risk issues, July 2023.
3 See in particular Corporate governance principles for banks, July 2015; Guidance on credit risk and accounting for expected credit losses , December 2015; Prudential treatment of problem assets - definitions of non-performing exposures and forbearance, April
2017; SRP36 - Risk data aggregation and risk reporting; Best practices for credit risk disclosure, September 2000; Stress testing principles, October 2018; Principles for the effective management and supervision of climate-related financial risks , June 2022;
and Guidelines for counterparty credit risk management, December 2024.
4 The Committee consulted the updated Credit Risk Principles from 5 February to 21 March 2025 and received 2 public comments (see Principles for the management of credit risk, February 2025). The updated principles are set out below and are unchanged in substance from the version published for consultation.",0.8724
23,16,"Principle 16: Banks must have a system in place for early remedial action on deteriorating credits, managing problem credits and similar workout situations.
78. One reason for establishing a systematic credit review process is to identify weakened or problem credits. 12 A reduction in credit quality should be recognised at an early stage when there may be more options available for improving the credit. Banks must have a disciplined and vigorous remedial management process, triggered by specific events, that is administered through the credit administration and problem recognition systems.
79. A bank’s credit risk policies should clearly set out how the bank will manage problem credits. Banks differ on the methods and organisation they use to manage problem credits. Responsibility for such credits may be assigned to the originating business function, a specialised workout section, or a combination of the two, depending upon the size and nature of the credit and the reason for its problems.
80. Effective workout programs are critical to managing risk in the portfolio. When a bank has significant credit-related problems, it is important to segregate the workout function from the area that originated the credit. The additional resources, expertise and more concentrated focus of a specialised workout section normally improve collection results. A workout section can help develop an effective strategy to rehabilitate a troubled credit or to increase the amount of repayment ultimately collected. An experienced workout section can also provide valuable input into any credit restructurings organised by the business function.",18,15,"Principle 15: Banks must have a system in place for early remedial action on deteriorating credits, managing problem exposures and similar workout situations.
Reference documents: BCP40.41, BCP40.42, BCBS Prudential treatment of problem assets – definitions of non-performing exposures and forbearance (April 2017) and BCBS Guidance on credit risk and accounting for expected credit losses (December 2015).
64. One reason for establishing a systematic credit review process is to identify weakened or problem exposures. A reduction in credit quality should be recognised at an early stage when there may be more options available for improving the credit. Banks must have a disciplined and vigorous remedial management process, triggered by specific events, that is administered through the credit administration and problem recognition systems.
65. A bank’s credit risk policies should clearly set out how the bank will manage problem exposures.
Banks differ on the methods and organisation they use to manage problem exposures.
Responsibility for such exposures may be assigned to the originating business function, a specialised workout section or a combination of the two, depending upon the size and nature of the exposure and the reason for its problems.
66. Effective workout programs are critical to managing risk in the portfolio. When a bank has significant credit-related problems, it is important to segregate the workout function from the area that originated the credit. The additional resources, expertise and more concentrated focus of a specialised workout section normally improve collection results. A workout section can help develop an effective strategy to rehabilitate a troubled credit or to increase the amount of repayment ultimately collected. An experienced workout section can also provide valuable input into any credit restructurings organised by the business function.",0.8281
15,6,"Principle 6: Banks should have a clearly-established process in place for approving new credits as well as the amendment, renewal and re-financing of existing credits.
42. Many individuals within a bank are involved in the credit-granting process. These include individuals from the business origination function, the credit analysis function and the credit approval function. In addition, the same counterparty may be approaching several different areas of the bank for various forms of credit. Banks may choose to assign responsibilities in different ways; however, it is important that the credit granting process coordinate the efforts of all of the various individuals in order to ensure that sound credit decisions are made.
43. In order to maintain a sound credit portfolio, a bank must have an established formal transaction evaluation and approval process for the granting of credits. Approvals should be made in accordance with the bank’s written guidelines and granted by the appropriate level of management. There should be a clear audit trail documenting that the approval process was complied with and identifying the individual(s) and/or committee(s) providing input as well
Guidance is available in the documents Banks’ Interactions with Highly Leveraged Institutions and Sound Practices for Banks’ Interactions with Highly Leveraged Institutions (January 1999).
as making the credit decision. Banks often benefit from the establishment of specialist credit groups to analyse and approve credits related to significant product lines, types of credit facilities and industrial and geographic sectors. Banks should invest in adequate credit decision resources so that they are able to make sound credit decisions consistent with their credit strategy and meet competitive time, pricing and structuring pressures.
44. Each credit proposal should be subject to careful analysis by a qualified credit analyst with expertise commensurate with the size and complexity of the transaction. An effective evaluation process establishes minimum requirements for the information on which the analysis is to be based. There should be policies in place regarding the information and documentation needed to approve new credits, renew existing credits and/or change the terms and conditions of previously approved credits. The information received will be the basis for any internal evaluation or rating assigned to the credit and its accuracy and adequacy is critical to management making appropriate judgements about the acceptability of the credit.
45. Banks must develop a corps of credit risk officers who have the experience, knowledge and background to exercise prudent judgement in assessing, approving and managing credit risks. A bank’s credit-granting approval process should establish accountability for decisions taken and designate who has the absolute authority to approve credits or changes in credit terms. Banks typically utilise a combination of individual signature authority, dual or joint authorities, and a credit approval group or committee, depending upon the size and nature of the credit. Approval authorities should be commensurate with the expertise of the individuals involved.",11,6,"Principle 6: Banks should have a clearly established process in place for approving new credits as well as amending, renewing and refinancing existing credits and ensuring a thorough understanding of the risk profile and characteristics of the borrowers or counterparties.
Reference documents: BCP40.40, BCP40.46–47.
33. Many individuals within a bank are involved in the credit-granting process. These include individuals from the business origination function, the credit analysis function and the credit approval function. In addition, the same counterparty may be approaching several different areas of the bank for various forms of credit. Banks may choose to assign responsibilities in different ways; however, it is important that the credit-granting process coordinate the efforts of all of the various individuals in order to ensure that sound credit decisions are made.
34. In order to maintain a sound credit portfolio, a bank must have an established formal transaction evaluation and approval process for the granting of credits, ensuring a thorough understanding of the risk profile and characteristics of the borrowers (and, in the case of securitisation exposures, all features of securitisation transactions that would materially impact the performance of the respective exposures). Approvals should be made in accordance with the bank’s written guidelines and granted by the appropriate level of management. There should be a clear audit trail documenting that the approval process was complied with and identifying the individual(s) and/or committee(s) providing input as well as making the credit decision. Banks often benefit from the establishment of specialist credit groups to analyse and approve credits related to significant product lines, types of credit facilities and industrial and geographic sectors. Banks should invest in adequate credit decision resources so that they are able to make sound credit decisions consistent with their credit strategy and meet competitive time, pricing and structuring pressures.
35. Each credit proposal should be subject to careful analysis by a qualified credit analyst with expertise commensurate with the size and complexity of the transaction. An effective evaluation process establishes minimum requirements for the information on which the analysis is to be based. There should be policies in place regarding the information and documentation needed to approve new credits, renew existing credits and/or change the terms and conditions of previously approved credits. The information received will be the basis for any internal evaluation or rating assigned to the credit, and its accuracy and adequacy is critical to management making appropriate judgments about the acceptability of the credit.
36. Banks should maintain a corps of credit risk officers who have the experience, knowledge and background to exercise prudent judgment in assessing, approving and managing credit risks. A bank’s credit-granting approval process should establish accountability for decisions taken and designate who has the absolute authority to approve credits or changes in credit terms. Banks typically utilise a combination of individual signature authority, dual or joint authorities, and a credit approval group or committee, depending upon the size and nature of the credit. Approval authorities should be commensurate with the expertise of the individuals involved.",0.8219
7,C,"C. Maintaining an appropriate credit administration, measurement and monitoring process",12,IV,"IV. Maintaining an appropriate credit administration, measurement and monitoring process",0.7411
8,D,D. Ensuring adequate controls over credit risk,17,V,V. Ensuring adequate controls over credit risk,0.7356
9,II,II. Establishing an Appropriate Credit Risk Environment,6,II,II. Establishing an appropriate credit risk environment,0.7262
12,III,III. Operating under a Sound Credit Granting Process,8,III,III. Operating under a sound credit-granting process,0.7262
23,VI,VI. The Role of Supervisors,18,VI,VI. The role of supervisors,0.725
18,9,"Principle 9: Banks must have in place a system for monitoring the condition of individual credits, including determining the adequacy of provisions and reserves.
54. Banks need to develop and implement comprehensive procedures and information systems to monitor the condition of individual credits and single obligors across the bank’s various portfolios. These procedures need to define criteria for identifying and reporting potential problem credits and other transactions to ensure that they are subject to more frequent monitoring as well as possible corrective action, classification and/or provisioning. 10
55. An effective credit monitoring system will include measures to:
• ensure that the bank understands the current financial condition of the borrower or counterparty;
• monitor compliance with existing covenants;
• assess, where applicable, collateral coverage relative to the obligor’s current condition;
• identify contractual payment delinquencies and classify potential problem credits on a timely basis; and • direct promptly problems for remedial management.
56. Specific individuals should be responsible for monitoring credit quality, including ensuring that relevant information is passed to those responsible for assigning internal risk ratings to the credit. In addition, individuals should be made responsible for monitoring on an ongoing basis any underlying collateral and guarantees. Such monitoring will assist the bank in making necessary changes to contractual arrangements as well as maintaining adequate reserves for credit losses. In assigning these responsibilities, bank management should recognise the potential for conflicts of interest, especially for personnel who are judged and rewarded on such indicators as loan volume, portfolio quality or short-term profitability.",13,9,"Principle 9: Banks must have in place policies, processes and methodologies for grading, classifying and monitoring all credit exposures (including off-balance sheet and forborne exposures), including establishing provisions and ensuring appropriate and robust provisioning levels.
Reference documents: BCP40.42, Prudential treatment of problem assets – definitions of non-performing exposures and forbearance (April 2017), Guidance on credit risk and accounting for expected credit losses (December 2015), BCP40.40(3)(c) and Guidelines for counterparty credit risk management (December 2024).
42. Banks must have comprehensive policies, processes and methodologies for grading, classifying and monitoring all credit exposures (including off-balance sheet and forborne exposures) of individual credits and single obligors across the bank’s various portfolios or at a portfolio level for credit exposures with homogeneous characteristics. These processes, policies and methodologies need to define criteria for identifying and reporting potential problem exposures in a timely manner to ensure that they are subject to more frequent monitoring as well as possible corrective action, classification and/or provisioning.
43. An effective credit monitoring system will include measures to:
ensure that the bank understands the current financial condition of the borrower or − counterparty;
monitor compliance with existing covenants;
− assess, where applicable, collateral coverage relative to the obligor’s current condition;
− identify contractual payment delinquencies and classify potential problem exposures on a
− timely basis; and promptly direct problems for remedial management.
−
44. Specific individuals should be responsible for monitoring credit quality, including ensuring that relevant information is passed to those responsible for assigning internal risk ratings to the credit.
In addition, individuals should be made responsible for monitoring on an ongoing basis any underlying collateral and guarantees. Such monitoring will ensure that prompt action is taken at the appropriate level of the bank’s senior management or board, assist the bank in making necessary changes to contractual arrangements as well as maintain adequate provisions and reserves for credit losses. In assigning these responsibilities, bank management should recognise the potential for conflicts of interest, especially for personnel who are judged and rewarded on such indicators as loan volume, portfolio quality or short-term profitability.",0.6412
3,IV,"IV. MAINTAINING AN APPROPRIATE CREDIT ADMINISTRATION, MEASUREMENT AND MONITORING PROCESS.....................................................................................................................13
V. ENSURING ADEQUATE CONTROLS OVER CREDIT RISK ........................................................18
VI. THE ROLE OF SUPERVISORS............................................................................................................19
APPENDIX: COMMON SOURCES OF MAJOR CREDIT PROBLEMS ..................................................21 i
Principles for the Management of Credit Risk",,,,0.0
7,6,"Principle 6: Banks should have a clearly-established process in place for approving new credits as well as the amendment, renewal and re-financing of existing credits.",,,,0.0
7,8,Principle 8: Banks should have in place a system for the ongoing administration of their various credit risk-bearing portfolios.,,,,0.0
8,9,"Principle 9: Banks must have in place a system for monitoring the condition of individual credits, including determining the adequacy of provisions and reserves.",,,,0.0
8,12,Principle 12: Banks must have in place a system for monitoring the overall composition and quality of the credit portfolio.,,,,0.0
8,16,"Principle 16: Banks must have a system in place for early remedial action on deteriorating credits, managing problem credits and similar workout situations.",,,,0.0
9,1,"Principle 1: The board of directors should have responsibility for approving and periodically (at least annually) reviewing the credit risk strategy and significant credit risk policies of the bank. The strategy should reflect the bank’s tolerance for risk and the level of profitability the bank expects to achieve for incurring various credit risks.
9. As with all other areas of a bank’s activities, the board of directors 3 has a critical role to play in overseeing the credit-granting and credit risk management functions of the bank.
Each bank should develop a credit risk strategy or plan that establishes the objectives guiding the bank’s credit-granting activities and adopt the necessary policies and procedures for conducting such activities. The credit risk strategy, as well as significant credit risk policies, should be approved and periodically (at least annually) reviewed by the board of directors.
The board needs to recognise that the strategy and policies must cover the many activities of the bank in which credit exposure is a significant risk.
10. The strategy should include a statement of the bank’s willingness to grant credit based on exposure type (for example, commercial, consumer, real estate), economic sector, geographical location, currency, maturity and anticipated profitability. This might also include the identification of target markets and the overall characteristics that the bank would want to achieve in its credit portfolio (including levels of diversification and concentration tolerances).
11. The credit risk strategy should give recognition to the goals of credit quality, earnings and growth. Every bank, regardless of size, is in business to be profitable and, consequently, must determine the acceptable risk/reward trade-off for its activities, factoring in the cost of capital. A bank’s board of directors should approve the bank’s strategy for selecting risks and maximising profits. The board should periodically review the financial results of the bank and, based on these results, determine if changes need to be made to the strategy. The board must also determine that the bank’s capital level is adequate for the risks assumed throughout the entire organisation.
12. The credit risk strategy of any bank should provide continuity in approach.
Therefore, the strategy will need to take into account the cyclical aspects of any economy and the resulting shifts in the composition and quality of the overall credit portfolio. Although the strategy should be periodically assessed and amended, it should be viable in the long-run and through various economic cycles.
13. The credit risk strategy and policies should be effectively communicated throughout the banking organisation. All relevant personnel should clearly understand the bank’s
This paper refers to a management structure composed of a board of directors and senior management. The Committee is aware that there are significant differences in legislative and regulatory frameworks across countries as regards the functions of the board of directors and senior management. In some countries, the board has the main, if not exclusive, function of supervising the executive body (senior management, general management) so as to ensure that the latter fulfils its tasks. For this reason, in some cases, it is known as a supervisory board. This means that the board has no executive functions. In other countries, by contrast, the board has a broader competence in that it lays down the general framework for the management of the bank. Owing to these differences, the notions of the board of directors and senior management are used in this paper not to identify legal constructs but rather to label two decision-making functions within a bank.
approach to granting and managing credit and should be held accountable for complying with established policies and procedures.
14. The board should ensure that senior management is fully capable of managing the credit activities conducted by the bank and that such activities are done within the risk strategy, policies and tolerances approved by the board. The board should also regularly (i.e.
at least annually), either within the credit risk strategy or within a statement of credit policy, approve the bank’s overall credit granting criteria (including general terms and conditions). In addition, it should approve the manner in which the bank will organise its credit-granting functions, including independent review of the credit granting and management function and the overall portfolio.
15. While members of the board of directors, particularly outside directors, can be important sources of new business for the bank, once a potential credit is introduced, the bank’s established processes should determine how much and at what terms credit is granted.
In order to avoid conflicts of interest, it is important that board members not override the credit-granting and monitoring processes of the bank.
16. The board of directors should ensure that the bank’s remuneration policies do not contradict its credit risk strategy. Remuneration policies that reward unacceptable behaviour such as generating short-term profits while deviating from credit policies or exceeding established limits, weaken the bank’s credit processes.",,,,0.0
10,2,"Principle 2: Senior management should have responsibility for implementing the credit risk strategy approved by the board of directors and for developing policies and procedures for identifying, measuring, monitoring and controlling credit risk. Such policies and procedures should address credit risk in all of the bank’s activities and at both the individual credit and portfolio levels.
17. Senior management of a bank is responsible for implementing the credit risk strategy approved by the board of directors. This includes ensuring that the bank’s credit-granting activities conform to the established strategy, that written procedures are developed and implemented, and that loan approval and review responsibilities are clearly and properly assigned. Senior management must also ensure that there is a periodic independent internal assessment of the bank’s credit-granting and management functions. 4
18. A cornerstone of safe and sound banking is the design and implementation of written policies and procedures related to identifying, measuring, monitoring and controlling credit risk. Credit policies establish the framework for lending and guide the credit-granting activities of the bank. Credit policies should address such topics as target markets, portfolio mix, price and non-price terms, the structure of limits, approval authorities, exception procesing/reporting, etc. Such policies should be clearly defined, consistent with prudent banking practices and relevant regulatory requirements, and adequate for the nature and complexity of the bank’s activities. The policies should be designed and implemented within the context of internal and external factors such as the bank’s market position, trade area, staff
This may be difficult for very small banks; however, there should be adequate checks and balances in place to promote sound credit decisions.
capabilities and technology. Policies and procedures that are properly developed and implemented enable the bank to: (i) maintain sound credit-granting standards; (ii) monitor and control credit risk; (iii) properly evaluate new business opportunities; and (iv) identify and administer problem credits.
19. As discussed further in paragraphs 30 and 37 through 41 below, banks should develop and implement policies and procedures to ensure that the credit portfolio is adequately diversified given the bank’s target markets and overall credit strategy. In particular, such policies should establish targets for portfolio mix as well as set exposure limits on single counterparties and groups of connected counterparties, particular industries or economic sectors, geographic regions and specific products. Banks should ensure that their own internal exposure limits comply with any prudential limits or restrictions set by the banking supervisors.
20. In order to be effective, credit policies must be communicated throughout the organisation, implemented through appropriate procedures, monitored and periodically revised to take into account changing internal and external circumstances. They should be applied, where appropriate, on a consolidated bank basis and at the level of individual affiliates. In addition, the policies should address equally the important functions of reviewing credits on an individual basis and ensuring appropriate diversification at the portfolio level.
21. When banks engage in granting credit internationally, they undertake, in addition to standard credit risk, risk associated with conditions in the home country of a foreign borrower or counterparty. Country or sovereign risk encompasses the entire spectrum of risks arising from the economic, political and social environments of a foreign country that may have potential consequences for foreigners’ debt and equity investments in that country. Transfer risk focuses more specifically on a borrower’s capacity to obtain the foreign exchange necessary to service its cross-border debt and other contractual obligations. In all instances of international transactions, banks need to understand the globalisation of financial markets and the potential for spillover effects from one country to another or contagion effects for an entire region.
22. Banks that engage in granting credit internationally must therefore have adequate policies and procedures for identifying, measuring, monitoring and controlling country risk and transfer risk in their international lending and investment activities. The monitoring of country risk factors should incorporate (i) the potential default of foreign private sector counterparties arising from country-specific economic factors and (ii) the enforceability of loan agreements and the timing and ability to realise collateral under the national legal framework. This function is often the responsibility of a specialist team familiar with the particular issues.",,,,0.0
